text,label,gold,pred
내년 2월에 장기임대주택사업이 8년 만기로 끝나는데 연장신청시 2년 연장할려고 합니다. 이 경우에는 2년 동안 종부세는 합산배제인 건가요?,1,세무,비세무
그러면 장례식장에 근무하고 있는 청년(만34세 미만)은 중소기업 소득세 감면에 해당하나요?,1,세무,비세무
제가 조합원 자격이 되지않아 장인어른이 조합자격이 되어 제가 모든 돈을 장인어른 통장으로 입금하여 아파트를 매매 하였습니다. 이제 제 명의로 변경을 하려고 합니다. 아파트는 현재 입주 후 2년이 경과하였습니다. 현재 저는 무주택이며 장인께서는 2주택이십니다. 장인어른 아파트 명의 변경시 세금 및 각종 부대비용은 얼마쯤 할까요?,1,세무,비세무
"태양광 발전소로 개인사업자(일반과세자) 등록하여 운용하고 있습니다. 이번에 차량을 구입하면서 픽업트럭 이나 9인승 카니발을 사려고 합니다. 개인사업자로 해서 부가세 환급을 빋을 수 있을까요? 또 만약 렌탈로 해도 부가세를 횐급받고, 월 렌탈료 전체를 매입으로 해서 비용처리를 할수 있을까요?",1,세무,비세무
2021년에 중소기업 감면신청을 한걸로 기억이나 손택스에 들어가 종합소득세 경청신고를 들어가서 신고를 했습니다. 해보니 18만원을 환급 받을 수 있었습니다. 그런데 종합소득세 신고 기간이 따로 있는걸로 알고 있는데 그때 하면 돈을 조금더 받을수 있을까요?,1,세무,비세무
"입사시 19세~34세인 경우 4년간(중소기업임) 청년으로 간주 되는 것으로 변경 되었는데, 4년의 종료 시점이 어떻게 되나요?",1,세무,비세무
개정된 통합고용세액공제 관련하여 문의 드립니다. 청년 등 상시근로자수에는 1년 이상 기간제 근로자도 포함이 되나요?,1,세무,비세무
중소기업 취업자 소득세 감면 신청서를 작성하던 중 궁금한 점이 있습니다. 24년 1월 22일 취업을 했고 신청은 25년 1월1일부터 하려고 하는데 취업일과 감면기간이 같아야한다고 합니다. 세무사사무소에서는 24년은 소득이 적고 환급금이 많아 감면이 많이 안되니 25년부터 신청하라고 하는데 25년부터 신청하는건 안되는건가요?,1,세무,비세무
"현재 직장을 다니지는 않고 프리랜서로 일하고 있는데, 이런 경우에도 종합소득세 신고를 꼭 해야 하나요?",1,세무,비세무
이번 국세청 연말정산간소화 자료중 부양가족 소득 초과가 확인되었습니다. 위의 경우 연소득 100만원(근로소득 500만원) 초과시 해당이 되는 것으로 알고 있습니다. 제 자녀의 경우 연간 입금액을 확인시 399만원으로 확인이 되는데 이런 경우 소득금액 확인을 어떻게 하면 되나요?,1,세무,비세무
세금계산서 발행을 잘못했는데 수정세금계산서 처리 어떻게 하나요?,1,세무,비세무
"해외 취업을 준비 중인데, 언어 능력 외에 현지 문화 적응이나 생활비 문제 등이 걱정됩니다. 실제로 해외에서 생활해본 분들의 조언을 듣고 싶습니다.",0,비세무,메타
자동차를 중고로 구매하려고 합니다. 사고 이력 조회는 했지만 실제 차량 상태를 어떻게 점검해야 하는지 잘 모르겠습니다. 정비소 동행 점검이 꼭 필요한지 궁금합니다.,0,비세무,메타
더 자세히 설명해줄래요?,2,메타,세무
위에서 설명한 예시를 기준으로 다시 한 번 설명해주세요.,2,메타,비세무
다시 한 번 설명해주세요.,2,메타,비세무
아까 답변을 기준으로 핵심 개념부터 다시 설명해줘.,2,메타,비세무
아까 설명한 흐름을 순서도처럼 말로 정리해줘.,2,메타,세무
방금 내용이 어려워서 그런데 같은 내용을 다른 표현으로 다시 설명해줘.,2,메타,비세무
